component,action,start,end,duration,status,run
pickplace,move_to_home_initial,1779171868.566273,1779171874.5923195,6.026036500930786,ok,1
pickplace,conveyor_belt_running_until_object_detected,1779171874.6015675,1779171876.7212946,2.119727373123169,ok,1
pickplace,gripper_open,1779171876.7222016,1779171879.2324886,2.5102803707122803,ok,1
pickplace,move_to_pick,1779171879.2330787,1779171885.2617037,6.028622150421143,ok,1
pickplace,gripper_close,1779171885.2620451,1779171887.7720146,2.5099642276763916,ok,1
pickplace,move_to_color_sensor,1779171887.7723732,1779171896.3121953,8.539815425872803,ok,1
pickplace,gripper_open,1779171896.31279,1779171898.8215573,2.5087618827819824,ok,1
pickplace,move_to_home_final,1779171898.8221502,1779171907.3613827,8.539226293563843,ok,1
pickplace,gripper_close,1779171907.3620272,1779171909.8722568,2.510221481323242,ok,1
controller,pickplace_total,1779171868.5116792,1779171909.9266403,41.414968729019165,unknown,1
controller,colorsensor_total,1779171909.9275537,1779171910.3285503,0.40099453926086426,unknown,1
sorter,move_to_home_initial,1779171910.398578,1779171919.431348,9.032754182815552,ok,1
sorter,gripper_open,1779171919.4316936,1779171922.4352355,3.003533124923706,ok,1
sorter,move_to_color_sensor,1779171922.435923,1779171928.9616947,6.525769472122192,ok,1
sorter,gripper_close,1779171928.9620152,1779171931.9656186,3.00359845161438,ok,1
sorter,move_to_conveyor,1779171931.965928,1779171942.5049124,10.538974523544312,ok,1
sorter,gripper_close,1779171942.50547,1779171945.5134988,3.008028268814087,ok,1
sorter,move_to_home_final,1779171945.5138168,1779171954.5517018,9.03787636756897,ok,1
controller,sorter_total,1779171910.329628,1779171959.1278305,48.79820680618286,unknown,1
pickplace,move_to_home_initial,1779172334.884721,1779172340.9100378,6.025308609008789,ok,2
pickplace,conveyor_belt_running_until_object_detected,1779172340.9195244,1779172343.6698575,2.750333070755005,ok,2
pickplace,gripper_open,1779172343.6709335,1779172346.179958,2.5090179443359375,ok,2
pickplace,move_to_pick,1779172346.1805758,1779172352.210823,6.030246019363403,ok,2
pickplace,gripper_close,1779172352.2111742,1779172354.7200902,2.5089118480682373,ok,2
