component,action,start,end,duration,status
pickplace,move_to_home_initial,1779779367.3085234,1779779373.831978,6.523444890975952,ok
pickplace,conveyor_belt_running_until_object_detected,1779779373.841978,1779779374.4912522,0.6492726802825928,ok
pickplace,gripper_open,1779779374.4921398,1779779377.5021775,3.010031223297119,ok
pickplace,move_to_pick,1779779377.5027637,1779779384.6829393,7.180169582366943,ok
pickplace,gripper_close,1779779384.6835594,1779779387.6920567,3.008490800857544,ok
pickplace,move_to_color_sensor,1779779387.6926303,1779779396.7321732,9.03953742980957,ok
pickplace,gripper_open,1779779396.7327821,1779779399.7424686,3.0096805095672607,ok
pickplace,move_to_home_final,1779779399.7430553,1779779408.7820122,9.038954257965088,ok
pickplace,gripper_close,1779779408.7823503,1779779411.7914484,3.009089231491089,ok
controller,pickplace_total,1779779367.2463157,1779779411.8652704,44.61894941329956,ok
controller,colorsensor_total,1779779411.8659601,1779779412.280399,0.414442777633667,ok
sorter,move_to_home_initial,1779779412.3248565,1779779418.8480968,6.523231506347656,ok
sorter,gripper_open,1779779419.1196795,1779779422.128302,3.008620262145996,ok
sorter,move_to_color_sensor,1779779422.1288764,1779779428.6485698,6.519686460494995,ok
sorter,gripper_close,1779779428.6492205,1779779431.6583226,3.009096384048462,ok
sorter,throwing_block,1779779431.6589084,1779779442.192258,10.533343315124512,ok
sorter,gripper_close,1779779442.1928701,1779779445.1983466,3.0054733753204346,ok
sorter,move_to_home_final,1779779445.1988,1779779454.2279904,9.029187679290771,ok
controller,sorter_total,1779779412.2812207,1779779454.2783563,41.99713945388794,ok
pickplace,move_to_home_initial,1779779454.3352463,1779779460.8617477,6.526496410369873,ok
pickplace,conveyor_belt_running_until_object_detected,1779779460.870527,1779779461.5127447,0.6422183513641357,ok
pickplace,gripper_open,1779779461.5132315,1779779464.5214894,3.0082530975341797,ok
pickplace,move_to_pick,1779779464.5218904,1779779471.0417862,6.519886493682861,ok
pickplace,gripper_close,1779779471.042376,1779779474.051081,3.0086987018585205,ok
pickplace,move_to_color_sensor,1779779474.0516686,1779779483.091277,9.03960108757019,ok
pickplace,gripper_open,1779779483.0918717,1779779486.1016116,3.009735345840454,ok
pickplace,move_to_home_final,1779779486.1021934,1779779495.1415975,9.039397239685059,ok
